user_name,hashed_password,plain_password
changl,003f63585169c9d7919723f6705ab4de1729eb9203fc4d2cb6161b2160e7f57c,p@$$w0rd4811077
z_sato,d95c561eb3afa04d3b6ec176a99de5f394ae90da6c9f6432d1198ff9a9a6f4c8,batman0602
lee.kevin86,9f807abe7381db00c41beb97e797eab3dbc1676f146bf5fe85c194a50bd64741,secret5300052
zoezhang,f3ab60dd76e67d5221b18d47700e326f3e7a33e52806ae19d2382c768789bdb9,batman4365
nataliegarcia,48598047a45b9607ebc57c15e5b6258db44bfe7f2542f8f742cbda57d1306f01,secret14021485
junchang,9cacda06895ee971d080ef19482051890c603889071461f97c6220975141c8e9,Superman533715
l_zhang,15d761f26f59ef6d99c6bfbf0078cd34541973540bdcc1eb6c6370a3c439eba2,legend2025
natalie_tan,23fa505908d37f5a0c1893900da072b49042b17b544e14a0682d2d0593a425bf,Network6163
daniel43,32f5db923ce0999661d716f975ebf652e6746290334f15c6d699298981490282,password217357
kumar_j,fcb0e44ef2a1e8ba48c39d8006d8bcfa33d7a0fc7fca9d5ecd10e2fc807d64c5,3TS9VGEdSK5&
l_abdullah,fdca5aaf6875a32ecafb43253ff7c9618f964eb5d59d791a15575dfcac619605,shadow1490361
emily_garcia,1f355243b9ce8652a7df1240d6d2788e1eb73f757aebe3889239056037769125,secret5045
priya_abdullah47,4ebd3d5f714ffedf6d9375713a76f44d4429461c1d89e214e005fac689f6e881,welcome2024
chen_r,dc70d1ca2064cc60427acdb80d9549a441c2bd4605738c1c39d5d46bb7bee808,L1v3rp00l9
zoe57,058429997f9c8ed5b03d3e9c5f3f68f5ddf7f29a11686c59c819c963f041b8cf,master20252024
msmith50,2aa7f0e340d2cdf41a7d0f3a1964a1e14fa885e860344ebf84e6e79109da4d9e,master71052486
priyang,c96c62b49ca29330e78adf59cca019665c7297a0b1e42acb13f18b91e36dac66,sunshine70608
d_garcia,95ed56c5ca79c50b56c2702d8dbf014093d5214ae131db4543c77dead838f351,qwerty53378
jun77,974aa340c3c7e48f224fb2c6d26de5844dbc7cc69289591c42a7d5987fa866fc,liverpool9771
chen.ryan57,1223fc30e43c673a21e015d0ff0df3443e8ac8d596ed84bdda26a0aa8cc9b1cd,arsenal49791536
jasonlim,8d3e416f15942938d8d4f530c6ca0a6608ad803600d217b02b4dd01cc64d88f7,chelsea95270
satod,a9315fe5feaafb9af8ed266e3f34862c25bfde1519c2a448fd9d52535baa29ab,liverpool524
anna.abdullah,c08afcba7bb05ee12a4bd746147ea4cd93ab17256565b25dcc46d969d4746fb3,B@tm@n17809
jmendez48,a6ce1561d7e409b2f6a23665d9095e1923126ddf3a2fc812c4753eb324b7a63a,qw3rty!179200
satoj,acccb9efe8a05e1847ae71876721d0192087fd94079a39085fdfadfc6d23c69c,M@$t3r112419697
lee_johnson,4f9ab0c846f9925c58a4ec939fce8e910948c0d8916550a05f7fce3154838387,secret2750
ztan2,3d7680bf1ca8c7268309a6bc947b0904e104e47cb9d337b74cf54bf91e3bcb86,admin82750740
anna_fernandez5,f52ea2ed3d4392446f5e7392d7590af11a260a70b68bbd0cde6dd4bfa003ee17,m@n@g3r168524
nataliefernandez,ff36c0c918559fca8327dde1e4778b29f60dbc3c2b40cae57830dbc4a6958197,master328860
mendezs,28011ec4566425ab67683ee9b4bbf7e5bdfde0ed682b72705e9933a573c3b3ef,Password532
ng.alex32,b4fc81fb04ccc3f2213e882837f45e8c1b593390f2d250f9b355dd2716860ad3,shadow58202871
amir_mendez,548b7323a1cbfae840405e5c2de8e2e42bb6394beb4cafa25fa1cd7b99140e9d,network1413
tanm,74ac3a4827a022f8986e4a8da130d8d9962082cb24f4f3665087a415bfd1ee76,monkey52379201
tan.david49,bf158135678d78cd03e7b3342debac6a145ce076ca7ce91f30b63a4505692b3f,chelsea32912
michael87,7b3b9327651fc732b3a241fbf4a3954b05ee6c7c354e0fa433ff1ea452ca8009,superman555866
anna_ong20,57636360138a421ff4e984e9ef6211262571f42ad10d0179a91e6ceaa20a9e1d,p@$$w0rd391
anna48,64e030dc40cc88aeecd80ab4bacf4cd3512aa50c1ccfecd68c162f67207a30c7,batman$703
alex57,18ff7beeb336238c544f7eb8977a667cbc260cd84258ed1451545c03f9ca8e17,m0nk3y165724520
chen_a,5e26c3b2c7065a2a4f2f7314ec6ec9bd3484f3602ec41fa17d553b446bf8cca9,liverpool64
chena,00a592b83b70ca487e92d6fd4c54e6c5f8d4c0a8fad9992536d618a905e50fc4,manager29097642
saramendez,df5a49e3938e91d7abfd36ece4e92615504107ee69135d57bc99c70d06afadfb,password991078
johnson.jason59,d2f547e3cc94fea8a9c941a95acf11f9b6e9318d5c548a5511a3ade5377fb848,l1v3rp00l651
daniel_sato20,9fe6e60b3cf55449e6cd9f2bf46657830617052621dce9ae23cc8ba805070044,Superman98068
chang_a,20b2d3b16852a4d868f28d079757f64ddf1559d531c9f1bf4ba3feb0bac0efd8,computer$0
